"filename", "language", "JSON", "JavaScript", "CSS", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Sumit\Documents\sumitu\package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Sumit\Documents\sumitu\server\.env", "Properties", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\Sumit\Documents\sumitu\server\models\Cart.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Sumit\Documents\sumitu\server\models\Employee.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Sumit\Documents\sumitu\server\models\Product.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Sumit\Documents\sumitu\server\models\Purchase.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Sumit\Documents\sumitu\server\models\ServiceProvider.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 3, 59
"c:\Users\Sumit\Documents\sumitu\server\package-lock.json", "JSON", 2466, 0, 0, 0, 0, 0, 0, 1, 2467
"c:\Users\Sumit\Documents\sumitu\server\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Sumit\Documents\sumitu\server\routes\purchase.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Sumit\Documents\sumitu\server\server.js", "JavaScript", 0, 235, 0, 0, 0, 0, 21, 56, 312
"Total", "-", 39850, 1279, 1086, 1, 5, 38, 120, 438, 42817
